x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-37.249153,0.89206487,0,7,France,Франция,en,Country
28.106937,43.215393,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
28.067568,43.27904,2,1,United_States,Соединённые_Штаты_Америки,en,Country
6.421052,-33.889927,3,4,Хард-рок,Hard_rock,ln,MusicGenre
6.4211164,-33.89135,4,3,Hard_rock,Хард-рок,en,MusicGenre
8.929687,-32.143192,5,6,Рок-музыка,Rock_music,ln,MusicGenre
8.929687,-32.143192,6,5,Rock_music,Рок-музыка,en,MusicGenre
-37.249153,0.89206487,7,0,Франция,France,ln,Country
-51.161724,-31.837572,8,23,Spain,Испания,en,Country
-5.519469,-65.98018,9,16,EMI,EMI,ln,Company
3.741466,47.787827,10,15,Italy,Италия,en,Country
23.503958,3.4133666,11,36,Великобритания,United_Kingdom,ln,Country
31.14853,-29.418865,12,59,London,Лондон,en,Settlement
3.952831,-29.685513,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
10.83547,0.88292044,14,25,Warner_Bros.,Warner_Bros.,en,Company
3.7410264,47.790596,15,10,Италия,Italy,ln,Country
-5.519469,-65.98018,16,9,EMI,EMI,en,Company
6.0875854,-31.395267,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
33.02202,31.551321,18,39,India,Индия,en,Country
42.09028,29.295439,19,30,Япония,Japan,ln,Country
27.89222,-25.53218,20,29,New_York_City,Нью-Йорк,en,City
15.420621,58.847923,21,42,Бразилия,Brazil,ln,Country
4.364194,-20.744919,22,31,Germany,Германия,en,Country
-51.16183,-31.837265,23,8,Испания,Spain,ln,Country
30.77846,26.619967,24,109,Poland,Польша,en,Country
10.83547,0.88292044,25,14,Warner_Bros.,Warner_Bros.,ln,Company
68.86619,4.6626954,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
18.886787,-33.083725,27,48,Кантри,Country_music,ln,MusicGenre
20.142632,56.966717,28,187,Los_Angeles,Лос-Анджелес,en,City
27.82365,-25.532866,29,20,Нью-Йорк,New_York_City,ln,City
42.09048,29.296398,30,19,Japan,Япония,en,Country
4.364122,-20.745176,31,22,Германия,Germany,ln,Country
6.0875854,-31.395267,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
68.86619,4.6626954,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
84.27974,44.2969,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
84.27974,44.2969,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
24.500538,3.10582,36,11,United_Kingdom,Великобритания,en,Country
6.3820796,-39.95419,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
84.97907,45.372032,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
33.02202,31.551321,39,18,Индия,India,ln,Country
-31.334211,-0.55778766,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
4.4820275,-20.719574,41,218,Немецкий_язык,German_language,ln,Language
15.420621,58.847923,42,21,Brazil,Бразилия,en,Country
44.86058,31.558594,43,98,Российская_империя,Russian_Empire,ln,Country
14.594688,-20.07686,44,67,Queen_(band),Queen,en,Band
26.076523,-14.542245,45,78,Блэк-метал,Black_metal,ln,MusicGenre
7.6155453,-31.377615,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
-54.879684,31.699892,47,84,Аргентина,Argentina,ln,Country
18.663622,-33.12163,48,27,Country_music,Кантри,en,MusicGenre
18.266922,59.729168,49,112,Чили,Chile,ln,Country
44.460636,32.759583,50,231,Russia,Россия,en,Country
-23.043392,101.1832,51,72,Узбекистан,Uzbekistan,ln,Country
-31.83837,-35.439114,52,95,Sweden,Швеция,en,Country
46.474377,30.723642,53,58,Османская_империя,Ottoman_Empire,ln,Country
-50.367554,-59.7969,54,103,Estonia,Эстония,en,Country
